,Bundesland,"2021
Allgemeine Deckungsmittel (Euro je Einwohner:in)",GKZ,ARS,"2021
Anteil ab 65-Jährige (%)",Kommune,"2021
Verschuldung im Kernhaushalt (Euro je Einwohner:in)","2021
Haushalte mit niedrigem Einkommen (%)","2021
Allgemeine Deckungsmittel (Euro je Einwohner:in)_normalized","2021
Anteil ab 65-Jährige (%)_normalized","2021
Verschuldung im Kernhaushalt (Euro je Einwohner:in)_normalized","2021
Haushalte mit niedrigem Einkommen (%)_normalized",socio_economic_index
88,Nordrhein-Westfalen,2.094,5754000,57540000000,20.3,"Gütersloh, LK",555.0,35.4,0.48082663605051656,0.6403785488958991,0.5623100303951368,0.6531365313653136,1.3749984746058326
89,Niedersachsen,2.014,3252000,32520000000,25.700000000000003,"Hameln-Pyrmont, LK",2.329,45.6,0.4624569460390355,0.8107255520504733,0.0023596757852077004,0.8413284132841328,1.1919566950807783
90,Niedersachsen,1.823,3353000,33530000000,22.5,"Harburg, LK",757.0,36.1,0.4185993111366245,0.7097791798107255,0.7669706180344478,0.6660516605166051,1.7242021472251539
91,Sachsen-Anhalt,1.525,15085000,150850000000,29.6,"Harz, LK",1.453,51.7,0.3501722158438576,0.9337539432176656,0.0014721377912867274,0.9538745387453874,1.538928403910482
92,Bayern,1.677,9674000,96740000000,22.2,"Haßberge, LK",834.0,40.3,0.3850746268656716,0.7003154574132491,0.8449848024316109,0.7435424354243542,1.9037680684035427
93,Brandenburg,1.766,12063000,120630000000,23.2,"Havelland, LK",343.0,45.7,0.4055109070034443,0.7318611987381702,0.3475177304964539,0.8431734317343174,1.517041453965497
94,Niedersachsen,1.841,3358000,33580000000,22.7,"Heidekreis, LK",1.871,45.0,0.42273249138920777,0.7160883280757097,0.0018956433637284701,0.8302583025830258,1.125509782633256
95,Baden-Württemberg,2.012,8135000,81350000000,22.3,"Heidenheim, LK",1.028,35.3,0.46199770378874855,0.7034700315457413,0.0010415400202634245,0.6512915129151291,0.8938053806923854
96,Baden-Württemberg,1.938,8125000,81250000000,19.9,"Heilbronn, LK",359.0,32.0,0.4450057405281285,0.6277602523659305,0.3637284701114488,0.5904059040590406,1.1368888860082913
97,Nordrhein-Westfalen,1.755,5370000,53700000000,21.8,"Heinsberg, LK",940.0,41.1,0.4029850746268656,0.6876971608832807,0.9523809523809523,0.7583025830258302,1.9953956216631976
98,Niedersachsen,1.793,3154000,31540000000,23.8,"Helmstedt, LK",2.988,42.3,0.4117106773823191,0.750788643533123,0.003027355623100304,0.7804428044280441,1.1225481262019485
99,Nordrhein-Westfalen,1.85,5758000,57580000000,22.6,"Herford, LK",2.287,41.1,0.4247990815154994,0.7129337539432177,0.0023171225937183384,0.7583025830258302,1.048754378047267
100,Hessen,2.059,6632000,66320000000,24.599999999999998,"Hersfeld-Rotenburg, LK",3.706,44.8,0.4727898966704937,0.7760252365930598,0.0037548125633232016,0.8265682656826567,1.1335584181685459
101,Schleswig-Holstein,1.722,1053000,10530000000,22.7,Herzogtum Lauenburg,961.0,39.2,0.3954075774971297,0.7160883280757097,0.9736575481256332,0.7232472324723247,2.017585531176538
102,Thüringen,1.578,16069000,160690000000,26.200000000000003,"Hildburghausen, LK",316.0,51.6,0.3623421354764638,0.8264984227129337,0.32016210739615,0.9520295202952029,1.7363479149278227
103,Niedersachsen,1.828,3254000,32540000000,23.799999999999997,"Hildesheim, LK",2.075,43.0,0.4197474167623421,0.7507886435331229,0.0021023302938196556,0.7933579335793357,1.1265014906439363
104,Nordrhein-Westfalen,1.904,5958000,59580000000,22.9,"Hochsauerlandkreis, LK",1.316,39.4,0.43719862227324907,0.7223974763406938,0.0013333333333333333,0.7269372693726937,1.0134694567734717
